t,robustness,satisfied
28.1,-4.000,0
28.2,-4.000,0
28.3,-4.000,0
28.4,-4.000,0
28.5,-4.000,0
28.6,-4.000,0
28.7,-4.000,0
28.8,-4.000,0
28.9,-4.000,0
29.0,-4.000,0
29.1,-4.000,0
29.2,-4.000,0
29.3,-4.000,0
29.4,-4.000,0
29.5,-4.000,0
29.6,-4.000,0
29.7,-4.000,0
29.8,-4.000,0
29.9,-4.000,0
30.0,-4.000,0
30.1,-4.000,0
30.2,-4.000,0
30.3,-4.000,0
30.4,-4.000,0
30.5,-4.000,0
30.6,-4.000,0
30.7,-4.000,0
30.8,-4.000,0
30.9,-4.000,0
31.0,-4.000,0
31.1,-4.000,0
31.2,-4.000,0
31.3,-4.000,0
31.4,-4.000,0
31.5,-4.000,0
31.6,-4.000,0
31.7,-4.000,0
31.8,-4.000,0
31.9,-4.000,0
32.0,-4.000,0
32.1,-4.000,0
32.2,-4.000,0
32.3,-4.000,0
32.4,-4.000,0
32.5,-4.000,0
32.6,-4.000,0
32.7,-4.000,0
32.8,-4.000,0
32.9,-4.000,0
33.0,-4.000,0
33.1,-4.000,0
33.2,-4.000,0
33.3,-4.000,0
33.4,-4.000,0
33.5,-4.000,0
33.6,-4.000,0
33.7,-4.000,0
33.8,-4.000,0
33.9,-4.000,0
34.0,-4.000,0
34.1,-4.000,0
34.2,-4.000,0
34.3,-4.000,0
34.4,-4.000,0
34.5,-4.000,0
34.6,-4.000,0
34.7,-4.000,0
34.8,-4.000,0
34.9,-4.000,0
35.0,-4.000,0
35.1,-4.000,0
35.2,-4.000,0
35.3,-4.000,0
35.4,-4.000,0
35.5,-4.000,0
35.6,-4.000,0
35.7,-4.000,0
35.8,-4.000,0
35.9,-4.000,0
36.0,-4.000,0
36.1,-4.000,0
36.2,-4.000,0
36.3,-4.000,0
36.4,-4.000,0
36.5,-4.000,0
36.6,-4.000,0
36.7,-4.000,0
36.8,-4.000,0
36.9,-4.000,0
37.0,-4.000,0
37.1,-4.000,0
37.2,-4.000,0
37.3,-4.000,0
37.4,-4.000,0
37.5,-4.000,0
37.6,-4.000,0
37.7,-4.000,0
37.8,-4.000,0
37.9,-4.000,0
38.0,-4.000,0
38.1,-4.000,0
38.2,-4.000,0
38.3,-4.000,0
38.4,-4.000,0
38.5,-4.000,0
38.6,-4.000,0
38.7,-4.000,0
38.8,-4.000,0
38.9,-4.000,0
39.0,-4.000,0
39.1,-4.000,0
39.2,-4.000,0
39.3,-4.000,0
39.4,-4.000,0
39.5,-4.000,0
39.6,-4.000,0
39.7,-4.000,0
39.8,-4.000,0
39.9,-4.000,0
40.0,-4.000,0
40.1,-4.000,0
40.2,-4.000,0
40.3,-4.000,0
40.4,-4.000,0
40.5,-4.000,0
40.6,-4.000,0
40.7,-4.000,0
40.8,-4.000,0
40.9,-4.000,0
41.0,-4.000,0
41.1,-4.000,0
41.2,-4.000,0
41.3,-4.000,0
41.4,-4.000,0
41.5,-4.000,0
41.6,-4.000,0
41.7,-4.000,0
41.8,-4.000,0
41.9,-4.000,0
42.0,-4.000,0
42.1,-4.000,0
42.2,-4.000,0
42.3,-4.000,0
42.4,-4.000,0
42.5,-4.000,0
42.6,-4.000,0
42.7,-4.000,0
42.8,-4.000,0
42.9,-4.000,0
43.0,-4.000,0
43.1,-4.000,0
43.2,-4.000,0
43.3,-4.000,0
43.4,-4.000,0
43.5,-4.000,0
43.6,-4.000,0
43.7,-4.000,0
43.8,-4.000,0
43.9,-4.000,0
44.0,-4.000,0
44.1,-4.000,0
44.2,-4.000,0
44.3,-4.000,0
44.4,-4.000,0
44.5,-4.000,0
44.6,-4.000,0
44.7,-4.000,0
44.8,-4.000,0
44.9,-4.000,0
45.0,-4.000,0
45.1,-4.000,0
45.2,-4.000,0
45.3,-4.000,0
45.4,-4.000,0
45.5,-4.000,0
45.6,-4.000,0
45.7,-4.000,0
45.8,-4.000,0
45.9,-4.000,0
46.0,-4.000,0
46.1,-4.000,0
46.2,-4.000,0
46.3,-4.000,0
46.4,-4.000,0
46.5,-4.000,0
46.6,-4.000,0
46.7,-4.000,0
46.8,-4.000,0
46.9,-4.000,0
47.0,-4.000,0
47.1,-4.000,0
47.2,-4.000,0
47.3,-4.000,0
47.4,-4.000,0
47.5,-4.000,0
47.6,-4.000,0
47.7,-4.000,0
47.8,-4.000,0
47.9,-4.000,0
48.0,-4.000,0
48.1,-4.000,0
48.2,-4.000,0
48.3,-4.000,0
48.4,-4.000,0
48.5,-4.000,0
48.6,-4.000,0
48.7,-4.000,0
48.8,-4.000,0
48.9,-4.000,0
49.0,-4.000,0
49.1,-4.000,0
49.2,-4.000,0
49.3,-4.000,0
49.4,-4.000,0
49.5,-4.000,0
49.6,-4.000,0
49.7,-4.000,0
49.8,-4.000,0
49.9,-4.000,0
50.0,-4.000,0
50.1,-4.000,0
50.2,-4.000,0
50.3,-4.000,0
50.4,-4.000,0
50.5,-4.000,0
50.6,-4.000,0
50.7,-4.000,0
50.8,-4.000,0
50.9,-4.000,0
51.0,-4.000,0
51.1,-4.000,0
51.2,-4.000,0
51.3,-4.000,0
51.4,-4.000,0
51.5,-4.000,0
51.6,-4.000,0
51.7,-4.000,0
51.8,-4.000,0
51.9,-4.000,0
52.0,-4.000,0
52.1,-4.000,0
52.2,-4.000,0
52.3,-4.000,0
52.4,-4.000,0
52.5,-4.000,0
52.6,-4.000,0
52.7,-4.000,0
52.8,-4.000,0
52.9,-4.000,0
53.0,-4.000,0
53.1,-4.000,0
53.2,-4.000,0
53.3,-4.000,0
53.4,-4.000,0
53.5,-4.000,0
53.6,-4.000,0
53.7,-4.000,0
53.8,-4.000,0
53.9,-4.000,0
54.0,-4.000,0
54.1,-4.000,0
54.2,-4.000,0
54.3,-4.000,0
54.4,-4.000,0
54.5,-4.000,0
54.6,-4.000,0
54.7,-4.000,0
54.8,-4.000,0
54.9,-4.000,0
55.0,-4.000,0
55.1,-4.000,0
55.2,-4.000,0
55.3,-4.000,0
55.4,-4.000,0
55.5,-4.000,0
55.6,-4.000,0
55.7,-4.000,0
55.8,-4.000,0
55.9,-4.000,0
56.0,-4.000,0
56.1,-4.000,0
56.2,-4.000,0
56.3,-4.000,0
56.4,-4.000,0
56.5,-4.000,0
56.6,-4.000,0
56.7,-4.000,0
56.8,-4.000,0
56.9,-4.000,0
57.0,-4.000,0
57.1,-4.000,0
57.2,-4.000,0
57.3,-4.000,0
57.4,-4.000,0
57.5,-4.000,0
57.6,-4.000,0
57.7,-4.000,0
57.8,-4.000,0
57.9,-4.000,0
58.0,-4.000,0
58.1,-4.000,0
58.2,-4.000,0
58.3,-4.000,0
58.4,-4.000,0
58.5,-4.000,0
58.6,-4.000,0
58.7,-4.000,0
58.8,-4.000,0
58.9,-4.000,0
59.0,-4.000,0
59.1,-4.000,0
59.2,-4.000,0
59.3,-4.000,0
59.4,-4.000,0
59.5,-4.000,0
59.6,-4.000,0
59.7,-4.000,0
59.8,-4.000,0
59.9,-4.000,0
